STATION,NAME,DATE,TAVG
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",10/20/2017,60
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",10/21/2017,56
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",10/22/2017,55
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",10/23/2017,61
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",10/24/2017,70
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",10/25/2017,62
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",10/26/2017,52
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",10/27/2017,51
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",10/28/2017,54
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",10/29/2017,61
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",10/30/2017,55
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",10/31/2017,49
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",11/1/2017,42
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",11/2/2017,55
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",11/3/2017,62
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",11/4/2017,43
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",11/5/2017,47
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",11/6/2017,57
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",11/7/2017,41
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",11/8/2017,36
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",11/9/2017,33
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",11/10/2017,35
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",11/11/2017,24
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",11/12/2017,30
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",11/13/2017,35
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",11/14/2017,36
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",11/15/2017,39
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",11/16/2017,44
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",11/17/2017,38
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",11/18/2017,31
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",11/19/2017,44
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",11/20/2017,34
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",11/21/2017,41
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",11/22/2017,44
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",11/23/2017,33
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",11/24/2017,37
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",11/25/2017,44
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",11/26/2017,41
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",11/27/2017,36
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",11/28/2017,29
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",11/29/2017,47
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",11/30/2017,33
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",12/1/2017,42
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",12/2/2017,35
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",12/3/2017,35
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",12/4/2017,30
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",12/5/2017,45
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",12/6/2017,44
