time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-03-05T17:44:02.530Z,14.4288,-92.8448,62.46,4.6,mb,,160,1.117,1.11,us,us1000javr,2019-03-06T19:13:01.040Z,"55km SW of Puerto Madero, Mexico",earthquake,8,8.5,0.03,325,reviewed,us,us
2019-03-05T15:58:22.200Z,14.3418,-93.0135,22.68,5.4,mww,,162,1.29,0.75,us,us1000jaur,2019-03-06T16:28:51.040Z,"76km WSW of Puerto Madero, Mexico",earthquake,8,5.3,0.059,28,reviewed,us,us
2019-03-05T13:45:02.050Z,14.3637,-92.8947,39.81,4.8,mb,,165,1.173,0.7,us,us1000jatq,2019-03-05T15:10:26.040Z,"64km SW of Puerto Madero, Mexico",earthquake,8.9,9.2,0.028,395,reviewed,us,us
2019-03-05T12:01:24.280Z,52.0476,175.2006,37.11,5.1,mww,,51,4.734,0.78,us,us1000jasv,2019-03-05T18:34:02.040Z,"60km SW of Buldir Island, Alaska",earthquake,9,6.1,0.073,18,reviewed,us,us
2019-03-05T11:41:13.400Z,14.3854,-92.8923,35,4.8,mb,,85,1.168,0.99,us,us1000jash,2019-03-05T12:30:53.040Z,"62km SW of Puerto Madero, Mexico",earthquake,7.5,1.9,0.029,370,reviewed,us,us
2019-03-05T07:27:02.100Z,5.097,94.1742,35,4.6,mb,,101,5.072,0.71,us,us1000jaq2,2019-03-05T07:51:45.040Z,"137km WSW of Banda Aceh, Indonesia",earthquake,4.8,1.9,0.084,42,reviewed,us,us
2019-03-05T00:57:19.570Z,71.7325,-12.0923,10,4.5,mb,,46,3.443,0.58,us,us1000jami,2019-03-05T01:17:09.040Z,"150km NW of Olonkinbyen, Svalbard and Jan Mayen",earthquake,6,1.9,0.052,110,reviewed,us,us
2019-03-04T22:28:10.950Z,42.5477,86.801,10,4.5,mb,,132,5.325,0.67,us,us1000jajz,2019-03-04T23:21:30.040Z,"57km NNE of Yanqi, China",earthquake,7.9,1.8,0.079,47,reviewed,us,us
2019-03-04T18:13:06.320Z,-2.4419,121.4447,37.17,4.8,mb,,38,1.921,0.76,us,us1000jaep,2019-03-05T23:04:47.040Z,"44km ENE of Malili, Indonesia",earthquake,6.8,7.1,0.083,45,reviewed,us,us
2019-03-04T17:22:51.740Z,38.2803333,-108.911,0.76,4.49,mw,11,95,0.03542,0.18,uu,uu60315157,2019-03-10T04:09:13.792Z,"57km N of Dove Creek, Colorado",earthquake,0.48,0.9,,21,reviewed,uu,uu
