time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-02-24T02:43:34.951Z,39.0628,27.9095,10.32,4.6,mb,,64,0.576,0.84,us,us70007vj1,2020-02-24T04:04:31.872Z,"17km NNE of Akhisar, Turkey",earthquake,5.6,4.4,0.081,46,reviewed,us,us
2020-02-24T00:33:48.004Z,31.2025,56.6379,10,4.6,mb,,84,5.688,0.76,us,us70007vgv,2020-02-24T00:54:11.040Z,"17km WSW of Ravar, Iran",earthquake,8.1,1.9,0.063,74,reviewed,us,us
2020-02-23T22:47:34.397Z,-3.1341,129.9851,46.39,4.5,mb,,60,4.68,0.64,us,us70007vfs,2020-02-24T00:26:16.040Z,"120km E of Amahai, Indonesia",earthquake,9.7,8.5,0.09,36,reviewed,us,us
2020-02-23T22:47:29.174Z,-23.9592,-67.1351,238.45,4.6,mb,,50,1.387,0.57,us,us70007vfk,2020-02-24T01:40:08.040Z,"87km WNW of San Antonio de los Cobres, Argentina",earthquake,10.5,10.6,0.244,5,reviewed,us,us
2020-02-23T16:54:40.035Z,38.4591,44.3226,10,4.5,mb,,87,1.004,0.47,us,us70007va8,2020-02-23T19:18:13.040Z,"24km SSE of Saray, Turkey",earthquake,5.5,1.9,0.092,34,reviewed,us,us
2020-02-23T16:00:31.622Z,38.4849,44.3645,10,6,mww,,19,1.04,0.85,us,us70007v9g,2020-02-27T14:13:19.491Z,"24km SE of Saray, Turkey",earthquake,4.7,1.3,0.05,38,reviewed,us,us
2020-02-23T13:53:35.110Z,26.9704,143.6791,10,4.7,mb,,139,1.338,0.69,us,us70007v7n,2020-02-23T14:46:16.040Z,"145km E of Chichi-shima, Japan",earthquake,8.9,1.9,0.091,36,reviewed,us,us
2020-02-23T13:25:40.611Z,28.4973,142.7839,10,5,mww,,122,1.493,0.61,us,us70007v7e,2020-02-23T14:17:36.040Z,"166km NNE of Chichi-shima, Japan",earthquake,8.4,1.9,0.08,15,reviewed,us,us
2020-02-23T12:57:08.927Z,45.7198,148.3979,173.05,5.2,mb,,101,4.096,0.7,us,us70007v6u,2020-02-23T13:16:39.040Z,"67km NE of Kuril'sk, Russia",earthquake,9.2,7.2,0.058,99,reviewed,us,us
2020-02-23T10:55:44.752Z,-4.4964,151.1814,282.94,4.5,mb,,68,1.025,0.62,us,us70007v64,2020-02-23T11:41:57.040Z,"114km WSW of Rabaul, Papua New Guinea",earthquake,10.7,8.7,0.109,25,reviewed,us,us
