Year,Month,Day,flow_cfs
1890,6,10,9580
1890,6,11,7880
1890,6,12,7680
1890,6,13,7230
1890,6,14,8880
1890,6,15,9830
1890,6,16,10800
1890,6,17,10100
1890,6,18,9780
1890,6,19,9080
1890,6,20,8130
1890,6,21,6780
1890,6,22,5930
1890,6,23,5080
1890,6,24,4280
1890,6,25,3880
1890,6,26,3580
1890,6,27,3080
1890,6,28,2630
1890,6,29,2780
1890,6,30,2930
1890,7,1,2380
1890,7,2,2380
1890,7,3,1770
1890,7,4,2280
1890,7,5,2800
1890,7,6,2650
1890,7,7,2500
1890,7,8,2200
1890,7,9,2200
1890,7,10,2200
1890,7,11,2080
1890,7,12,1930
1890,7,13,2000
1890,7,14,2080
1890,7,15,1930
1890,7,16,1930
1890,7,17,1930
1890,7,18,1830
1890,7,19,1530
1890,7,20,1530
1890,7,21,1530
1890,7,22,1830
1890,7,23,1410
1890,7,24,1530
1890,7,25,1530
1890,7,26,1530
1890,7,27,1730
1890,7,28,1930
1890,7,29,1630
1890,7,30,1830
1890,7,31,1830
1890,8,1,1830
1890,8,2,1530
1890,8,3,1580
1890,8,4,1630
1890,8,5,1530
1890,8,6,1280
1890,8,7,1410
1890,8,8,1530
1890,8,9,1280
1890,8,10,1280
1890,8,11,1280
1890,8,12,1280
1890,8,13,1180
1890,8,14,1080
1890,8,15,1080
1890,8,16,1080
1890,8,17,1080
1890,8,18,1080
1890,8,19,1080
1890,8,20,1030
1890,8,21,1180
1890,8,22,1280
1890,8,23,2480
1890,8,24,3380
1890,8,25,4280
1890,8,26,3230
1890,8,27,2930
1890,8,28,4880
1890,8,29,4680
1890,8,30,4280
1890,8,31,3860
1890,9,1,3450
1890,9,2,2800
1890,9,3,2800
1890,9,4,2200
1890,9,5,2200
1890,9,6,2200
1890,9,7,2650
1890,9,8,3150
1890,9,9,2650
1890,9,10,3150
1890,9,11,7450
1890,9,12,8200
1890,9,13,12800
1890,9,14,18100
1890,9,15,23400
1890,9,16,21500
1890,9,17,21100
1890,9,18,26000
1890,9,19,18400
1890,9,20,13800
1890,9,21,11500
1890,9,22,9150
1890,9,23,8130
1890,9,24,6780
1890,9,25,5930
1890,9,26,5280
1890,9,27,5280
1890,9,28,5280
1890,9,29,5280
1890,9,30,4680
1890,10,1,4080
1890,10,2,3880
1890,10,3,3580
1890,10,4,3410
1890,10,5,3740
1890,10,6,4070
1890,10,7,3580
1890,10,8,3880
1890,10,9,4280
1890,10,10,4680
1890,10,11,4680
1890,10,12,4480
1890,10,13,4280
1890,10,14,3880
1890,10,15,4280
1890,10,16,4280
1890,10,17,10100
1890,10,18,14500
1890,10,19,15200
1890,10,20,16000
1890,10,21,16200
1890,10,22,13900
1890,10,23,12100
1890,10,24,14800
1890,10,25,22500
1890,10,26,19000
1890,10,27,15500
1890,10,28,14200
1890,10,29,13200
1890,10,30,12400
1890,10,31,10800
1890,11,1,8330
1890,11,2,8700
1890,11,3,9080
1890,11,4,8330
1890,11,5,8130
1890,11,6,13400
1890,11,7,6930
1890,11,8,6930
1890,11,9,7560
1890,11,10,8200
1890,11,11,8650
1890,11,12,8650
1890,11,13,8200
1890,11,14,7700
1890,11,15,6500
1890,11,16,6650
1890,11,17,6800
1890,11,18,13800
1890,11,19,15500
1890,11,20,15500
1890,11,21,14400
1890,11,22,7050
1890,11,23,8570
1890,11,24,10100
1890,11,25,8650
1890,11,26,7900
1890,11,27,6700
1890,11,28,5500
1890,11,29,5480
1890,11,30,5700
1890,12,1,5930
1890,12,2,4280
1890,12,3,3230
1890,12,4,3080
1890,12,5,3730
1890,12,6,3880
1890,12,7,3730
1890,12,8,3580
1890,12,9,3380
1890,12,10,3480
1890,12,11,3480
1890,12,12,3480
1890,12,13,3230
1890,12,14,3300
1890,12,15,3380
1890,12,16,3230
1890,12,17,3080
1890,12,18,2930
1890,12,19,2930
1890,12,20,2930
1890,12,21,3080
1890,12,22,3230
1890,12,23,3580
1890,12,24,3230
1890,12,25,2710
1890,12,26,2200
1890,12,27,2200
1890,12,28,2410
1890,12,29,2630
1890,12,30,2630
1890,12,31,2380
1891,1,1,2630
1891,1,2,3230
1891,1,3,6330
1891,1,4,5700
1891,1,5,5080
1891,1,6,4680
1891,1,7,4680
1891,1,8,4280
1891,1,9,3880
1891,1,10,3880
1891,1,11,7600
1891,1,12,7600
1891,1,13,11300
1891,1,14,10500
1891,1,15,10000
1891,1,16,7880
1891,1,17,6780
1891,1,18,6650
1891,1,19,6530
1891,1,20,5930
1891,1,21,5080
1891,1,22,5480
1891,1,23,21900
1891,1,24,15900
1891,1,25,14300
1891,1,26,12600
1891,1,27,11600
1891,1,28,11000
1891,1,29,9580
1891,1,30,11900
1891,1,31,12100
1891,2,1,13900
1891,2,2,12600
1891,2,3,11300
1891,2,4,12900
1891,2,5,9080
1891,2,6,8630
1891,2,7,8630
1891,2,8,8200
1891,2,9,7880
1891,2,10,7630
1891,2,11,7480
1891,2,12,6330
1891,2,13,6330
1891,2,14,5480
1891,2,15,5730
1891,2,16,5980
1891,2,17,12400
1891,2,18,15600
1891,2,19,12600
1891,2,20,11100
1891,2,21,9530
1891,2,22,9530
1891,2,23,9530
1891,2,24,9330
1891,2,25,25100
1891,2,26,31100
1891,2,27,23100
1891,2,28,19400
1891,3,1,17700
1891,3,2,15900
1891,3,3,14800
1891,3,4,13900
1891,3,5,12600
1891,3,6,11300
1891,3,7,11100
1891,3,8,10100
1891,3,9,9080
1891,3,10,19700
1891,3,11,18300
1891,3,12,17300
1891,3,13,19100
1891,3,14,24100
1891,3,15,21500
1891,3,16,18900
1891,3,17,16500
1891,3,18,15400
1891,3,19,14500
1891,3,20,12900
1891,3,21,12600
1891,3,22,14600
1891,3,23,16500
1891,3,24,23100
1891,3,25,26400
1891,3,26,27700
1891,3,27,27100
1891,3,28,23800
1891,3,29,22200
1891,3,30,20700
1891,3,31,20100
1891,4,1,19400
1891,4,2,17600
1891,4,3,17300
1891,4,4,16500
1891,4,5,15200
1891,4,6,13900
1891,4,7,12600
1891,4,8,11600
1891,4,9,11100
1891,4,10,11100
1891,4,11,11900
1891,4,12,16900
1891,4,13,21900
1891,4,14,20900
1891,4,15,22500
1891,4,16,27100
1891,4,17,30500
1891,4,18,30500
1891,4,19,32300
1891,4,20,33200
1891,4,21,32500
1891,4,22,30500
1891,4,23,27700
1891,4,24,25100
1891,4,25,22500
1891,4,26,14700
1891,4,27,16800
1891,4,28,13700
1891,4,29,12100
1891,4,30,10800
1891,5,1,9580
1891,5,2,8330
1891,5,3,7880
1891,5,4,6340
1891,5,5,6800
1891,5,6,6800
1891,5,7,5900
1891,5,8,5900
1891,5,9,5050
1891,5,10,4650
1891,5,11,4250
1891,5,12,3880
1891,5,13,3880
1891,5,14,4280
1891,5,15,3630
1891,5,16,3880
1891,5,17,5750
1891,5,18,7630
1891,5,19,6780
1891,5,20,6330
1891,5,21,5480
1891,5,22,5480
1891,5,23,5930
1891,5,24,5480
1891,5,25,5030
1891,5,26,4680
1891,5,27,5250
1891,5,28,4680
1891,5,29,3630
1891,5,30,4280
1891,5,31,4080
1891,6,1,3880
1891,6,2,3230
1891,6,3,3880
1891,6,4,3150
1891,6,5,3450
1891,6,6,3150
1891,6,7,2820
1891,6,8,2500
1891,6,9,2050
1891,6,10,1950
1891,6,11,1650
1891,6,12,1750
1891,6,13,1650
1891,6,14,1920
1891,6,15,2200
1891,6,16,1950
1891,6,17,1750
1891,6,18,1750
1891,6,19,2500
1891,6,20,3850
1891,6,21,4140
1891,6,22,3580
1891,6,23,3880
1891,6,24,5930
1891,6,25,8930
1891,6,26,5930
1891,6,27,3880
1891,6,28,3400
1891,6,29,2930
1891,6,30,2380
1891,7,1,2080
1891,7,2,2080
1891,7,3,1780
1891,7,4,2140
1891,7,5,2140
1891,7,6,2500
1891,7,7,2500
1891,7,8,2950
1891,7,9,3450
1891,7,10,3450
1891,7,11,3450
1891,7,12,2820
1891,7,13,2200
1891,7,14,1900
1891,7,15,1750
1891,7,16,1750
1891,7,17,1650
1891,7,18,1350
1891,7,19,1770
1891,7,20,2200
1891,7,21,2330
1891,7,22,2330
1891,7,23,2080
1891,7,24,1780
1891,7,25,2330
1891,7,26,2630
