STATION,NAME,DATE,YEAR,MONTH,DAY,TAVG,TMAX,TMIN
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",9/19/1938,1938,9,19.00,,69,61
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",9/20/1938,1938,9,20.00,,65,55
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",9/21/1938,1938,9,21.00,,62,52
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",9/22/1938,1938,9,22.00,,66,47
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",9/23/1938,1938,9,23.00,,62,50
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",9/24/1938,1938,9,24.00,,74,49
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",9/25/1938,1938,9,25.00,,64,40
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",9/26/1938,1938,9,26.00,,71,34
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",9/27/1938,1938,9,27.00,,67,53
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",9/28/1938,1938,9,28.00,,70,41
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",9/29/1938,1938,9,29.00,,70,46
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",9/30/1938,1938,9,30.00,,58,41
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",10/1/1938,1938,10,1.00,,58,42
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",10/2/1938,1938,10,2.00,,57,87
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",10/3/1938,1938,10,3.00,,60,33
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",10/4/1938,1938,10,4.00,,65,35
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",10/5/1938,1938,10,5.00,,66,34
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",10/6/1938,1938,10,6.00,,50,38
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",10/7/1938,1938,10,7.00,,55,33
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",10/8/1938,1938,10,8.00,,64,27
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",10/9/1938,1938,10,9.00,,59,48
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",10/10/1938,1938,10,10.00,,64,45
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",10/11/1938,1938,10,11.00,,75,41
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",10/12/1938,1938,10,12.00,,82,45
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",10/13/1938,1938,10,13.00,,76,57
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",10/14/1938,1938,10,14.00,,76,56
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",10/15/1938,1938,10,15.00,,74,49
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",10/16/1938,1938,10,16.00,,78,41
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",10/17/1938,1938,10,17.00,,82,50
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",10/18/1938,1938,10,18.00,,67,46
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",10/19/1938,1938,10,19.00,,70,52
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",10/20/1938,1938,10,20.00,,65,47
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",10/21/1938,1938,10,21.00,,53,42
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",10/22/1938,1938,10,22.00,,55,42
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",10/23/1938,1938,10,23.00,,64,37
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",10/24/1938,1938,10,24.00,,61,44
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",10/25/1938,1938,10,25.00,,54,35
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",10/26/1938,1938,10,26.00,,66,33
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",10/27/1938,1938,10,27.00,,53,47
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",10/28/1938,1938,10,28.00,,58,44
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",10/29/1938,1938,10,29.00,,59,46
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",10/30/1938,1938,10,30.00,,51,38
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",10/31/1938,1938,10,31.00,,52,32
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",11/1/1938,1938,11,1.00,,54,26
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",11/2/1938,1938,11,2.00,,56,29
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",11/3/1938,1938,11,3.00,,59,33
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",11/4/1938,1938,11,4.00,,67,43
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",11/5/1938,1938,11,5.00,,71,58
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",11/6/1938,1938,11,6.00,,69,58
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",11/7/1938,1938,11,7.00,,75,62
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",11/8/1938,1938,11,8.00,,73,40
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",11/9/1938,1938,11,9.00,,46,30
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",11/10/1938,1938,11,10.00,,55,27
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",11/11/1938,1938,11,11.00,,57,28
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",11/12/1938,1938,11,12.00,,61,36
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",11/13/1938,1938,11,13.00,,60,42
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",11/14/1938,1938,11,14.00,,49,33
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",11/15/1938,1938,11,15.00,,42,30
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",11/16/1938,1938,11,16.00,,37,25
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",11/17/1938,1938,11,17.00,,54,36
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",11/18/1938,1938,11,18.00,,58,33
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",11/19/1938,1938,11,19.00,,59,33
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",11/20/1938,1938,11,20.00,,44,32
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",11/21/1938,1938,11,21.00,,50,29
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",11/22/1938,1938,11,22.00,,55,34
