SAMPLE_ID,LAT_DEG,LONG_DEG,YEAR_CONSTRUCTION,WELL_TYPE,WELL_DEPTH_m,DIVISION,DISTRICT,THANA,UNION,MOUZA,As_ugL,Al_mgL,B__mgL,Ba_mgL,Ca_mgL,Co_mgL,Cr_mgL,Cu_mgL,Fe_mgL,K__mgL,Li_mgL,Mg_mgL,Mn_mgL,Na_mgL,P__mgL,Si_mgL,SO4_mgL,Sr_mgL,V__mgL,Zn_mgL
S98_03215,22.857,89.872,1979,STW,29,Khulna,Bagerhat,Chitalmari,Bara Baria,Bara Baria,269,0.04,0.16,0.146,167,0.008,0.02,0.008,10.5,6,0.003,29.9,0.422,139,1.6,19.8,0.2,0.52,0.006,0.008
S98_03216,22.366,89.071,1996,STW,9,Khulna,Satkhira,Shyamnagar,Bhurulia,Teghoria,10,0.04,0.59,0.192,67.4,0.008,0.02,0.008,0.664,27.9,0.004,71,0.213,698,3,15,144,0.507,0.006,0.008
S98_03217,22.365,89.086,1982,STW,15,Khulna,Satkhira,Shyamnagar,Bhurulia,Burulia,509,0.04,0.06,0.295,181,0.008,0.02,0.008,7.88,5.1,0.003,44.3,0.366,44.6,1.2,15.7,0.2,0.679,0.006,0.008
S98_03218,22.561,89.863,1980,STW,20,Khulna,Bagerhat,Morrelganj,Daibagnyahati,Daibagnyahati,81.3,0.04,0.12,0.274,184,0.008,0.02,0.008,11.5,6.5,0.003,55.2,0.445,298,1.1,14.7,1.6,0.594,0.006,0.008
S98_03219,22.487,89.866,1995,STW,20,Khulna,Bagerhat,Morrelganj,Balaibunia,Balaibunia,3.6,0.04,0.26,0.153,95.6,0.008,0.02,0.008,3.39,10.9,0.005,62.4,0.284,414,0.5,19.4,0.6,0.501,0.006,0.008
S98_03220,22.601,89.893,1982,STW,25,Khulna,Bagerhat,Morrelganj,Banagram,Balabhadrapur,472,0.01,0.1,0.153,132,0.003,0.002,0.008,2.27,6.8,0.004,53.7,0.079,159,0.1,11.1,0.2,0.748,0.002,0.031
S98_03221,22.583,89.959,1982,STW,29,Khulna,Bagerhat,Morrelganj,Hoglapasha,Hoglapasha,27.2,0.04,0.05,0.04,72.4,0.008,0.02,0.008,4.24,3.8,0.003,19.3,0.255,94.3,2.2,21.4,0.2,0.258,0.006,0.008
S98_03222,22.456,89.859,1982,STW,13,Khulna,Bagerhat,Morrelganj,Barai khali,Fakirertakia,30.2,0.03,0.2,0.325,138,0.003,0.002,0.008,5.57,9,0.004,72.1,0.494,326,1.7,16.2,92.7,0.71,0.002,0.006
S98_03223,22.263,89.834,1988,STW,10,Khulna,Bagerhat,Sarankhola,Dakshin Khali,Sonatala,1.8,0.01,0.34,0.115,61,0.003,0.002,0.008,1.1,21.2,0.007,51.3,0.171,428,1,21.8,12.4,0.437,0.002,0.008
S98_03224,22.287,89.844,1994,STW,10,Khulna,Bagerhat,Sarankhola,Raenda,Raenda,60.1,0.01,0.31,0.094,122,0.003,0.002,0.008,7.1,13.6,0.008,84.1,0.159,481,2.5,22,0.4,0.701,0.002,0.022
S98_03225,22.313,89.854,1985,STW,10,Khulna,Bagerhat,Sarankhola,Raenda,Raenda bazar,24.8,0.01,0.2,0.032,64.1,0.003,0.002,0.008,0.878,13.1,0.003,51.2,0.306,82.9,1.9,23.9,0.4,0.378,0.002,0.005
S98_03226,22.663,89.774,1984,STW,29,Khulna,Bagerhat,Bagerhat Sadar,Shat Gambuj,Ranbijoypur,130,0.01,0.03,0.151,119,0.003,0.002,0.008,4.4,11.3,0.003,24.8,0.822,12.1,0.4,18.9,9.5,0.27,0.002,0.021
S98_03227,22.715,89.667,1980,STW,19,Khulna,Bagerhat,Bagerhat Sadar,Rakhalgachhi,Bara Paikpara,635,0.06,0.04,0.213,162,0.008,0.02,0.008,8.57,5.8,0.003,35.6,0.514,41,1.3,14.2,0.2,0.58,0.006,0.008
S98_03228,22.718,89.668,1996,DTW,282,Khulna,Bagerhat,Bagerhat Sadar,Rakhalgachhi,Bara Paikpara,0.5,0.04,0.22,0.149,41.6,0.008,0.02,0.008,0.369,6.8,0.012,25.7,0.06,281,0.2,16.8,0.2,0.298,0.006,0.008
S98_03229,22.704,89.688,1984,STW,15,Khulna,Bagerhat,Bagerhat Sadar,Rakhalgachhi,Karari,234,0.04,0.07,0.203,129,0.008,0.02,0.008,8.13,4.2,0.003,37,0.109,69.6,2.1,24.1,0.2,0.478,0.006,0.008
S98_03230,22.732,89.754,1997,STW,30,Khulna,Bagerhat,Bagerhat Sadar,Jatrapur,Jatrapur,26.2,0.04,0.17,0.171,138,0.008,0.02,0.008,7.48,9.7,0.006,58,0.519,269,1.2,23.7,0.2,0.594,0.006,0.129
S98_03231,22.664,89.783,1980,STW,25,Khulna,Bagerhat,Bagerhat Sadar,Paurashava w03,Purba Harinkhana,299,0.04,0.04,0.167,113,0.008,0.02,0.008,6.49,4.7,0.003,24.3,0.179,20.5,1.2,17,0.2,0.401,0.006,0.008
S98_03232,22.662,89.798,1990,STW,30,Khulna,Bagerhat,Bagerhat Sadar,Paurashava w02,Uttar Amlapara,10.8,0.04,0.08,0.18,129,0.008,0.02,0.008,4.41,2.5,0.003,24.2,0.11,44.3,0.6,10.5,20.8,0.347,0.006,0.008
S98_03233,22.658,89.771,1997,DTW,277,Khulna,Bagerhat,Bagerhat Sadar,Karapara,Kanthal,1.1,0.04,0.2,0.325,95.5,0.008,0.02,0.008,0.533,11.2,0.009,64.9,0.165,426,0.2,13.4,0.2,0.826,0.006,0.008
S98_03234,22.671,89.694,1997,DTW,282,Khulna,Bagerhat,Bagerhat Sadar,Khanpur,Uttar Khanpur,0.5,0.04,0.18,0.133,35.9,0.008,0.02,0.008,0.132,7.1,0.009,29.1,0.058,194,0.2,15.5,0.2,0.368,0.006,0.008
S98_03235,23.082,89.526,1997,STW,60,Khulna,Narail,Narail Sadar,Singasolpur,Shulpur,0.5,0.04,0.15,0.056,44,0.008,0.02,0.008,0.035,0.9,0.008,19.7,0.687,406,0.2,17.4,11.6,0.257,0.006,0.009
S98_03236,23.16,89.444,1978,STW,55,Khulna,Narail,Narail Sadar,Tularampur,Tularampur,203,0.04,0.04,0.188,150,0.008,0.02,0.008,3.94,2.7,0.01,27,1.5,66.5,0.5,21.2,0.2,0.516,0.006,0.008
S98_03237,23.161,89.482,1981,STW,52,Khulna,Narail,Narail Sadar,Mulia,Sitarampur,40.4,0.04,0.08,0.378,119,0.008,0.02,0.008,2.22,4.2,0.003,44.4,0.093,115,0.5,16.2,0.2,0.655,0.006,0.008
S98_03238,23.154,89.511,1996,STW,71,Khulna,Narail,Narail Sadar,Paurashava w03,Hatbaria,20,0.04,0.08,0.094,120,0.008,0.02,0.008,0.347,2,0.016,46.7,1.01,265,0.3,17.6,1,0.555,0.008,0.009
S98_03239,23.173,89.505,1996,STW,58,Khulna,Narail,Narail Sadar,Paurashava w02,Bhoakhali,184,0.04,0.06,0.144,129,0.008,0.02,0.008,6.2,1.2,0.008,39,0.756,71,0.2,19.1,0.2,0.515,0.006,0.008
S98_03240,23.504,89.402,1996,STW,58,Khulna,Magura,Magura Sadar,Atharakhada,Atharakhada,1,0.04,0.02,0.062,97.6,0.008,0.02,0.008,0.042,2.4,0.006,21.2,0.619,12.2,0.3,18.2,4.2,0.217,0.006,0.023
S98_03241,23.508,89.341,1996,STW,49,Khulna,Magura,Magura Sadar,Hazrapur,Sachani houtara,28.9,0.04,0.02,0.114,104,0.008,0.02,0.008,4.42,2.3,0.003,18.6,0.206,9.2,0.4,15.3,0.2,0.24,0.006,0.008
S98_03242,23.501,89.436,1995,Tara,56,Khulna,Magura,Magura Sadar,Kasundi,Parnanduali,0.5,0.04,0.03,0.053,104,0.008,0.02,0.008,0.032,2.3,0.006,22.6,1.65,22.3,0.2,20.4,3.1,0.353,0.006,0.011
S98_03243,23.409,89.399,1974,STW,53,Khulna,Magura,Magura Sadar,Jagdal,Jagla,106,0.04,0.03,0.438,94.9,0.008,0.02,0.008,5.25,3.2,0.003,25.3,0.138,20.2,1,20.1,0.2,0.305,0.006,0.008
S98_03244,23.462,89.467,1997,STW,53,Khulna,Magura,Magura Sadar,Chaulia,Buzruk srikundi,0.5,0.04,0.02,0.035,71.9,0.008,0.02,0.008,0.036,1.8,0.01,19,0.54,13.7,0.2,20.9,2.3,0.285,0.006,0.008
S98_03245,23.374,89.508,1995,STW,58,Khulna,Magura,Magura Sadar,Birail palita,Chottajoka,9.1,0.04,0.09,0.07,124,0.008,0.02,0.008,6.24,1.5,0.006,48.5,1.47,98.7,0.4,22,0.2,0.751,0.006,0.008
S98_03246,23.419,89.491,1975,STW,53,Khulna,Magura,Magura Sadar,Satrujitpur,Satrujitpur,0.5,0.04,0.04,0.047,76.8,0.008,0.02,0.008,0.033,0.7,0.004,31.7,1.01,73.1,0.2,20.7,0.2,0.384,0.006,0.008
S98_03247,23.486,89.428,,DTW,148,Khulna,Magura,Magura Sadar,Paurashava w03,Khanpara,33.3,0.05,0.02,0.142,117,0.008,0.02,0.008,0.279,3.5,0.008,27.8,0.503,26.6,0.2,20.4,0.4,0.341,0.006,0.008
S98_03248,23.485,89.429,1980,STW,20,Khulna,Magura,Magura Sadar,Paurashava w03,Thanapara,10.8,0.04,0.02,0.094,67,0.008,0.02,0.008,1.03,2,0.003,12,0.123,9.1,0.4,12.9,1.2,0.131,0.006,0.008
S98_03249,23.401,89.6,1997,STW,72,Khulna,Magura,Mohammadpur (M),Mohammadpur,Mohammadpur,168,0.04,0.04,0.062,110,0.008,0.02,0.008,3.79,3.9,0.008,26.8,3.14,17.7,0.5,25.3,0.2,0.522,0.006,0.008
S98_03250,23.358,89.581,1991,STW,62,Khulna,Magura,Mohammadpur (M),Palashbaria,Jhama,0.5,0.04,0.1,0.032,48.1,0.008,0.02,0.008,0.023,0.8,0.011,27.7,1.45,138,0.2,20.5,0.2,0.233,0.006,0.008
S98_03251,23.336,89.52,1996,STW,64,Khulna,Magura,Mohammadpur (M),Nahata,Nahata,0.5,0.04,0.04,0.096,94.6,0.008,0.02,0.008,0.066,1.3,0.003,38.8,2.31,73.9,0.6,18.1,0.2,0.559,0.006,0.008
S98_03252,23.368,89.556,1994,STW,57,Khulna,Magura,Mohammadpur (M),Balidia,Balidia,0.5,0.04,0.06,0.046,50.2,0.008,0.02,0.008,0.046,0.8,0.003,22.4,0.904,126,0.4,19.2,0.2,0.323,0.006,0.008
S98_03253,23.439,89.502,1985,STW,64,Khulna,Magura,Mohammadpur (M),Binodepur,Binodepur,0.5,0.04,0.04,0.05,104,0.008,0.02,0.008,0.028,1.3,0.005,30.1,0.879,29.1,0.2,25.6,0.2,0.422,0.006,0.008
S98_03254,23.488,89.563,1994,STW,63,Khulna,Magura,Mohammadpur (M),Babukhali,Sultansi,0.5,0.04,0.04,0.03,84.3,0.008,0.02,0.008,1.11,0.9,0.003,35.7,1.58,45.7,0.2,20.9,0.2,0.481,0.006,0.179
S98_03255,23.45,89.573,1994,STW,72,Khulna,Magura,Mohammadpur (M),Digha,Digha,7.5,0.04,0.04,0.032,87.3,0.008,0.02,0.008,0.062,3,0.013,34.3,0.753,31.1,0.2,23.3,2.6,0.4,0.006,0.008
S98_03256,23.119,89.081,1985,STW,35,Khulna,Jessore,Jhikargachha,Jhikargachha,Hariadhara,107,0.04,0.03,0.162,132,0.008,0.02,0.008,1.99,4,0.003,33.3,0.876,7.9,0.7,15.4,0.2,0.386,0.006,0.008
S98_03257,23.104,89.112,1984,STW,92,Khulna,Jessore,Jhikargachha,Jhikargachha,Kirtipur,72.4,0.04,0.02,0.165,123,0.008,0.02,0.008,4.47,2.1,0.004,24.9,0.178,17.7,0.2,18.4,0.2,0.28,0.006,0.028
S98_03258,23.098,89.047,1998,DTW,195,Khulna,Jessore,Jhikargachha,Gadkhali,Kamarpara,0.5,0.04,0.11,0.094,78.4,0.008,0.02,0.008,0.183,5.1,0.004,38.2,0.129,100,0.3,17.2,0.2,0.478,0.006,0.008
S98_03259,23.051,89.055,1992,STW,25,Khulna,Jessore,Jhikargachha,Nabharan,Haria,201,0.04,0.04,0.154,128,0.008,0.02,0.008,2.31,3.9,0.003,26.4,0.918,29.2,0.3,16.4,4.8,0.338,0.006,0.008
S98_03260,23.005,89.038,1980,STW,37,Khulna,Jessore,Jhikargachha,Hazirbagh,Kulla,83.6,0.04,0.03,0.147,92,0.008,0.02,0.008,2.9,2.5,0.003,21,0.176,10.3,0.9,18.8,0.2,0.329,0.006,0.008
S98_03261,22.979,89.074,1996,STW,40,Khulna,Jessore,Jhikargachha,Bakra,Bakra,107,0.05,0.03,0.188,77.9,0.008,0.02,0.008,3.01,2.2,0.005,18.9,0.077,13.7,0.9,19.1,0.2,0.28,0.006,0.008
S98_03262,22.965,89.021,1984,STW,40,Khulna,Jessore,Jhikargachha,Shankarpur,Ulakol,49.6,0.04,0.03,0.276,115,0.008,0.02,0.008,5.99,2.2,0.006,23.8,0.292,21.9,0.3,19.8,0.2,0.204,0.006,0.008
S98_03263,23.093,89.345,1993,STW,50,Khulna,Jessore,Abhaynagar,Mahakal,Banagram,0.5,0.04,0.08,0.105,130,0.008,0.02,0.008,0.041,1.2,0.02,35.6,0.401,264,0.3,17.4,7.8,0.709,0.008,0.008
S98_03264,23.02,89.406,1997,DTW,139,Khulna,Jessore,Abhaynagar,Paurashava,Goakhola,0.5,0.04,0.09,0.345,175,0.008,0.02,0.008,0.632,7.7,0.02,84.2,0.154,255,0.2,17.6,22.5,0.947,0.006,0.008
S98_03265,22.981,89.392,1989,STW,35,Khulna,Jessore,Abhaynagar,Payra,Shamspur,77.7,0.04,0.16,0.124,74.4,0.008,0.02,0.008,5.12,3.1,0.005,24.6,0.065,242,1.1,16.7,0.2,0.438,0.006,0.008
S98_03266,22.982,89.479,1987,STW,25,Khulna,Jessore,Abhaynagar,Subharara,Ranagati,3,0.04,0.22,0.52,111,0.008,0.02,0.008,2.33,2.2,0.008,64,0.207,823,1,17.2,1.4,0.705,0.006,0.008
S98_03267,23.046,89.398,1979,STW,49,Khulna,Jessore,Abhaynagar,Sridharpur,Shankarpasha,355,0.01,0.03,0.23,104,0.003,0.002,0.008,4.62,3.9,0.003,21.9,1.02,28.5,0.3,19.1,0.2,0.362,0.002,0.009
S98_03268,23.019,89.407,1979,STW,55,Khulna,Jessore,Abhaynagar,Paurashava,Goakhola,283,0.03,0.06,0.116,125,0.003,0.003,0.008,0.963,3.3,0.011,27.4,1.32,18.1,0.1,22.5,0.2,0.441,0.004,0.008
S98_03269,23.218,89.232,1970,STW,50,Khulna,Jessore,Jessore Sadar,Ichhali,Hasimpur,1.7,0.03,0.06,0.06,102,0.003,0.002,0.008,0.046,1.4,0.003,38,1.19,73.4,0.2,21.8,0.2,0.411,0.005,0.008
S98_03270,23.191,89.217,1990,STW,22,Khulna,Jessore,Jessore Sadar,Noapara,Bahadurpur,77.8,0.01,0.03,0.075,82.9,0.003,0.002,0.008,1.66,2.9,0.003,15.1,0.37,7,0.6,15.3,0.2,0.18,0.002,0.006
S98_03271,23.13,89.306,1988,STW,62,Khulna,Jessore,Jessore Sadar,Narendrapur,Hatbila,121,0.01,0.06,0.155,72.1,0.003,0.002,0.008,2.94,1.8,0.014,25.7,0.406,119,0.4,17.8,1,0.326,0.002,0.008
S98_03272,23.419,88.822,1986,STW,44,Khulna,Chuadanga,Jiban Nagar,Jiban Nagar,Jiban Nagar,98.7,0.04,0.03,0.35,121,0.008,0.02,0.008,7.27,3.1,0.003,27.7,0.13,16.7,0.3,19.7,0.2,0.28,0.006,0.01
S98_03273,23.43,88.779,1985,STW,40,Khulna,Chuadanga,Jiban Nagar,Jiban Nagar,Umapur,15.5,0.04,0.02,0.225,129,0.008,0.02,0.008,3.3,2.7,0.003,35.8,0.058,20.7,0.2,17.2,18.3,0.332,0.006,0.008
S98_03274,23.474,88.836,1993,STW,44,Khulna,Chuadanga,Jiban Nagar,Uthali,Santoshpur,44.6,0.04,0.02,0.102,84.7,0.008,0.02,0.008,1.25,2.9,0.003,14.5,0.254,10.4,0.3,13.7,0.2,0.205,0.006,0.008
S98_03275,23.479,88.9,1991,STW,35,Khulna,Chuadanga,Jiban Nagar,Andulbaria,Andulbaria,0.5,0.04,0.1,0.482,145,0.008,0.02,0.008,0.062,49.8,0.005,68.3,0.499,48.6,0.2,11,40.4,0.498,0.006,0.008
S98_03276,23.44,88.92,1968,STW,50,Khulna,Chuadanga,Jiban Nagar,Banka,Raipur,67.2,0.04,0.01,0.096,83,0.008,0.02,0.008,1.68,2.6,0.003,17.6,0.399,6.8,0.4,15.4,0.2,0.258,0.006,0.016
S98_03277,23.461,88.961,1996,STW,49,Khulna,Jhenaidah,Kotchandpur,Sabdalpur,Sabdalpur,9.6,0.04,0.01,0.153,125,0.008,0.02,0.008,1.5,4,0.003,27.4,0.351,14.6,0.2,14.3,10.9,0.259,0.006,0.01
S98_03278,23.501,88.956,1991,STW,43,Khulna,Jhenaidah,Kotchandpur,Dora,Bhumara,131,0.04,0.03,0.238,135,0.008,0.02,0.008,4.11,4.3,0.003,29.3,0.774,34.2,0.4,16.1,23.8,0.384,0.006,0.008
S98_03279,23.433,89.052,1960,STW,45,Khulna,Jhenaidah,Kotchandpur,Elangi,Gurpara,37.2,0.04,0.02,0.24,114,0.008,0.02,0.008,2.54,2.6,0.003,27,1.92,18.7,0.7,20.3,0.2,0.335,0.006,0.008
S98_03280,23.479,89.022,1998,STW,52,Khulna,Jhenaidah,Kotchandpur,Kushna,Talsar,0.5,0.04,0.02,0.058,113,0.008,0.02,0.008,0.067,1.4,0.003,38.1,0.88,18.7,0.3,23,0.2,0.511,0.006,0.009
S98_03281,23.409,89.014,1995,STW,25,Khulna,Jhenaidah,Kotchandpur,Pourasava,Bazarpara,0.5,0.04,0.02,0.04,95.5,0.008,0.02,0.008,0.726,3,0.003,18.8,1.15,17.7,0.2,13.2,9.1,0.232,0.006,0.017
S98_03282,23.408,89.013,1995,DTW,120,Khulna,Jhenaidah,Kotchandpur,Pourasava,Bazarpara,4.9,0.04,0.03,0.115,94.8,0.008,0.02,0.008,0.271,2.1,0.003,32.1,0.924,19.6,0.3,19.6,2.5,0.296,0.006,0.025
S98_03283,23.745,89.264,1996,Tara,47,Khulna,Jhenaidah,Shailkupa,Sarutia,Uttar krishnanag,0.5,0.04,0.02,0.053,99.2,0.008,0.02,0.01,0.254,1.3,0.008,30.2,0.56,34.2,0.2,20,0.2,0.448,0.006,0.01
S98_03284,23.663,89.356,1988,Tara,49,Khulna,Jhenaidah,Shailkupa,Dhalharachandra,Nandirgati,21.2,0.04,0.04,0.271,125,0.008,0.02,0.008,12.7,2,0.008,35.2,0.287,68.4,1,19.7,0.2,0.455,0.006,0.081
S98_03285,23.68,89.239,1989,STW,24,Khulna,Jhenaidah,Shailkupa,"Paurashova, W03",Kabirpur,83.8,0.04,0.02,0.208,151,0.008,0.02,0.008,3.86,3.8,0.003,36.4,0.858,14.4,0.2,15.2,10.1,0.441,0.006,0.011
S98_03286,23.686,89.253,1985,DTW,217,Khulna,Jhenaidah,Shailkupa,"Paurashova, W01",Tpc,1.4,0.04,0.03,0.154,111,0.008,0.02,0.008,0.259,3,0.009,38.3,0.319,41.1,0.2,21.3,0.2,0.507,0.006,0.008
S98_03287,23.663,89.199,1975,STW,20,Khulna,Jhenaidah,Shailkupa,Umedpur,Garakhola,5.1,0.04,0.01,0.177,91.5,0.008,0.02,0.008,1.64,2.1,0.003,18.6,0.07,13.8,0.2,12.6,6.9,0.208,0.006,0.008
S98_03288,23.711,89.151,1975,Tara,49,Khulna,Jhenaidah,Shailkupa,Tribeni,Padamdi,14.8,0.04,0.02,0.24,90.1,0.008,0.02,0.008,3.45,3.5,0.003,18.5,0.652,22,0.2,14.6,18.9,0.219,0.006,0.013
S98_03289,23.693,89.178,1994,STW,49,Khulna,Jhenaidah,Shailkupa,Mirzapur,Mirzapur,281,0.04,0.02,0.147,72.8,0.008,0.02,0.008,6.42,2.9,0.003,18.7,0.139,12.4,0.7,15,0.2,0.294,0.006,0.008
S98_03290,23.643,89.201,1997,STW,54,Khulna,Jhenaidah,Shailkupa,Dudshar,Shailkopa,30.8,0.04,0.01,0.279,117,0.008,0.02,0.008,5.46,2.9,0.003,26.3,0.324,56.1,0.6,15.5,42.3,0.298,0.006,0.008
S98_03291,23.653,89.048,1994,STW,49,Khulna,Jhenaidah,Harinakunda,Harinakunda,Harinakunda,15.8,0.04,0.01,0.146,89.6,0.008,0.02,0.008,1.96,1.7,0.003,27.5,0.824,14.7,0.4,18.8,0.2,0.352,0.006,0.008
S98_03292,23.719,89.077,1997,STW,44,Khulna,Jhenaidah,Harinakunda,Joradaha,Joradah,18.9,0.04,0.02,0.099,74.8,0.008,0.02,0.008,2.49,4,0.003,18.6,0.213,13.8,0.2,15.9,0.2,0.18,0.006,0.008
S98_03293,23.651,89.123,1991,STW,50,Khulna,Jhenaidah,Harinakunda,Ragunathpur,Porahati,0.8,0.04,0.02,0.06,56.8,0.008,0.02,0.008,0.245,2.2,0.003,11.7,0.056,13.6,0.2,9.99,7.5,0.11,0.006,0.01
S98_03294,23.648,89.047,1992,STW,72,Khulna,Jhenaidah,Harinakunda,Harinakunda,Harinakunda,0.5,0.04,0.01,0.04,77.3,0.008,0.02,0.008,0.042,0.8,0.003,26.2,1.58,16.4,0.2,20.1,9.7,0.268,0.006,0.539
S98_03295,23.606,89.075,1973,STW,45,Khulna,Jhenaidah,Harinakunda,Kapashatia,Bhalikishtali,135,0.04,0.02,0.043,108,0.008,0.02,0.008,6.17,2.4,0.003,26.2,0.513,18.3,0.6,19.7,0.2,0.29,0.006,0.008
S98_03296,23.579,89.129,1995,STW,40,Khulna,Jhenaidah,Harinakunda,Chandpur,Chandpur,11.7,0.04,0.01,0.157,83,0.008,0.02,0.008,2.31,2,0.003,16.4,0.18,10.2,0.3,14.1,3.1,0.189,0.006,0.008
S98_03297,23.86,89.238,1997,DTW,121,Khulna,Kushtia,Kumarkhali,Paurashova,Kalibari,4.7,0.04,0.02,0.177,118,0.008,0.02,0.008,0.07,3.3,0.009,40,0.163,35.1,0.2,20.2,0.2,0.488,0.006,0.046
S98_03298,23.901,89.259,1988,STW,35,Khulna,Kushtia,Kumarkhali,Jaganathpur,Hashimpur,377,0.04,0.04,0.334,162,0.008,0.02,0.008,8.23,4.7,0.003,39.9,2.04,16.2,0.4,19.4,0.2,0.7,0.006,0.008
S98_03299,23.906,89.225,1986,Tara,37,Khulna,Kushtia,Kumarkhali,Shelaidaha,Gobrakhali,11.7,0.04,0.03,0.126,127,0.008,0.02,0.008,2.45,1,0.008,33.8,0.417,30.1,0.2,20.3,0.2,0.441,0.006,0.008
S98_03300,23.898,89.186,1992,Tara,40,Khulna,Kushtia,Kumarkhali,Kaya,Uttar kaya,0.5,0.01,0.1,0.077,23.2,0.003,0.002,0.008,0.005,1.8,0.014,29.1,0.01,35.9,0.1,22.5,0.8,0.385,0.004,0.004
S98_03301,23.86,89.163,1998,Tara,42,Khulna,Kushtia,Kumarkhali,Chapra,Shymnagar,1.3,0.01,0.1,0.036,24.9,0.003,0.002,0.008,0.025,1.3,0.005,31.2,0.013,23.8,0.1,24.2,0.2,0.351,0.002,0.033
S98_03302,22.86,89.877,1993,STW,19,Khulna,Bagerhat,Chitalmari,Kalatala,Chingari,398,0.01,0.1,0.11,38.7,0.003,0.002,0.008,8.89,6.5,0.004,37.7,0.051,43.2,0.3,20.3,0.8,0.527,0.002,0.006
S98_03303,22.82,89.874,1989,STW,25,Khulna,Bagerhat,Chitalmari,Hizla,Hizla,186,0.01,0.1,0.116,49.5,0.003,0.002,0.008,6.36,5,0.004,42.2,0.024,50,0.4,33.6,0.8,0.441,0.002,0.009
S98_03304,22.803,89.901,1975,STW,21,Khulna,Bagerhat,Chitalmari,Hizla,Boalia,170,0.01,0.1,0.099,44.6,0.003,0.002,0.008,5.42,5.4,0.004,35,0.149,17.5,0.3,24.5,0.8,0.475,0.002,0.015
S98_03305,22.791,89.876,1975,STW,20,Khulna,Bagerhat,Chitalmari,Chitalmari,Aruabarri,134,0.01,0.2,0.095,95.6,0.003,0.002,0.008,0.908,16.3,0.004,95.1,0.018,79.5,0.6,27.4,0.9,0.767,0.002,0.301
S98_03306,22.532,89.59,1994,STW,13,Khulna,Bagerhat,Mongla,Buridanga,Bidyarboandigraj,14,0.01,0.6,0.151,89.6,0.003,0.002,0.008,1.21,14.1,0.017,81.4,0.014,1140,2.9,29.4,1.5,0.639,0.002,0.021
S98_03307,22.476,89.597,1996,STW,16,Khulna,Bagerhat,Mongla,Paurashava w02,Mongla bus stand,0.5,0.01,0.5,0.099,42.4,0.003,0.002,0.008,1.33,24.6,0.032,99.8,0.052,897,0.1,26.3,0.9,0.639,0.002,0.03
S98_03308,22.469,89.605,1995,STW,13,Khulna,Bagerhat,Mongla,Paurashava w03,Char salabunia,4.1,0.52,0.52,0.377,227,0.008,0.02,0.008,10.1,35.6,0.01,157,3.24,1190,0.5,19.4,84.5,1.04,0.011,0.117
S98_03309,23.213,89.488,1996,STW,50,Khulna,Narail,Narail Sadar,Shahabad,Sharashpur,0.5,0.06,0.08,0.059,86.1,0.008,0.02,0.008,0.171,0.8,0.005,25.6,1.33,73.6,0.2,17.9,0.2,0.282,0.007,0.008
S98_03310,23.223,89.45,1997,STW,62,Khulna,Narail,Narail Sadar,Maij para,Hossainpur,0.5,0.04,0.04,0.175,97.2,0.008,0.02,0.008,5.2,4.4,0.005,31.6,0.418,33.2,0.9,19.3,0.2,0.442,0.006,0.008
S98_03311,23.269,89.498,1997,STW,21,Khulna,Narail,Narail Sadar,Habakhali,Harighara,1.2,0.04,0.06,0.108,115,0.008,0.02,0.008,0.078,1.7,0.005,43.4,2.66,204,0.3,18.4,0.2,0.54,0.007,0.008
S98_03312,23.581,89.444,1977,STW,49,Khulna,Magura,Sreepur (M),Sabdalpur,Naohata,2.8,0.04,0.04,0.065,122,0.008,0.02,0.008,0.056,0.7,0.009,34.1,1.96,29.4,0.2,26,0.2,0.548,0.01,0.008
S98_03313,23.558,89.493,1996,STW,44,Khulna,Magura,Sreepur (M),Nakol,Nakol,0.5,0.04,0.02,0.034,79.2,0.008,0.02,0.008,0.059,0.8,0.004,20.6,2.76,13.4,0.2,21.1,5.6,0.35,0.008,0.008
S98_03314,23.437,89.465,1997,Tara,52,Khulna,Magura,Sreepur (M),Dariapur,Dariapur,0.5,0.04,0.04,0.057,106,0.008,0.02,0.008,0.018,0.8,0.013,35.5,1.19,56.9,0.2,23.1,0.2,0.47,0.007,0.008
S98_03315,23.643,89.435,1996,Tara,49,Khulna,Magura,Sreepur (M),Amalsar,Ramchandpur,0.5,0.04,0.06,0.061,96,0.008,0.02,0.008,0.025,0.8,0.008,39.1,1.06,79.4,0.2,21.2,0.2,0.412,0.007,0.008
S98_03316,23.636,89.374,1963,STW,43,Khulna,Magura,Sreepur (M),Gayeshpur,Chaturia,15.2,0.04,0.05,0.071,115,0.008,0.02,0.008,0.213,1,0.009,39.6,0.656,86.4,0.2,20.1,0.2,0.492,0.007,0.008
S98_03317,23.594,89.369,,Tara,47,Khulna,Magura,Sreepur (M),Sreekul,Purba srikol,0.5,0.04,0.05,0.142,114,0.008,0.02,0.008,5.2,2.4,0.009,35.2,0.161,38,0.3,19.2,0.2,0.61,0.006,0.013
S98_03318,23.809,89.23,1970,STW,35,Khulna,Kushtia,Kumarkhali,Panti,Bhaluka,4.4,0.07,0.03,0.086,89,0.008,0.02,0.008,0.037,0.6,0.004,25.4,0.385,34.5,0.3,20,1.6,0.337,0.006,0.008
