Year,Month,Day,Flow
2016,10,20,2410
2016,10,21,2580
2016,10,22,3410
2016,10,23,4080
2016,10,24,5080
2016,10,25,5270
2016,10,26,3590
2016,10,27,3350
2016,10,28,3620
2016,10,29,4160
2016,10,30,4170
2016,10,31,4270
2016,11,1,3810
2016,11,2,3840
2016,11,3,3890
2016,11,4,4340
2016,11,5,4220
2016,11,6,4380
2016,11,7,4240
2016,11,8,4240
2016,11,9,3600
2016,11,10,3560
2016,11,11,3300
2016,11,12,3140
2016,11,13,3130
2016,11,14,3080
2016,11,15,3270
2016,11,16,3890
2016,11,17,4180
2016,11,18,4380
2016,11,19,3990
2016,11,20,4150
2016,11,21,4520
2016,11,22,4110
2016,11,23,3680
2016,11,24,3550
2016,11,25,3570
2016,11,26,3810
2016,11,27,3990
2016,11,28,4060
2016,11,29,3970
2016,11,30,5960
2016,12,1,10400
2016,12,2,14400
2016,12,3,13100
2016,12,4,11500
2016,12,5,10800
2016,12,6,9270
2016,12,7,8560
2016,12,8,8290
2016,12,9,7790
2016,12,10,7180
2016,12,11,7010
2016,12,12,6910
2016,12,13,6440
2016,12,14,6720
2016,12,15,6060
2016,12,16,5610
2016,12,17,5360
2016,12,18,6790
2016,12,19,10700
2016,12,20,9560
2016,12,21,8840
2016,12,22,8990
2016,12,23,8330
2016,12,24,7760
2016,12,25,7570
2016,12,26,7540
2016,12,27,7890
2016,12,28,9450
2016,12,29,9290
2016,12,30,8780
2016,12,31,8270
