Year,Month,Day,Flow
2014,1,29,10700
2014,1,30,10700
2014,1,31,10600
2014,2,1,9520
2014,2,2,8680
2014,2,3,8200
2014,2,4,7530
2014,2,5,6330
2014,2,6,5050
2014,2,7,4900
2014,2,8,6140
2014,2,9,5990
2014,2,10,5060
2014,2,11,4830
2014,2,12,4620
2014,2,13,4400
2014,2,14,5120
2014,2,15,4940
2014,2,16,4720
2014,2,17,4790
2014,2,18,5020
2014,2,19,3830
2014,2,20,4050
2014,2,21,6540
2014,2,22,10100
2014,2,23,12300
2014,2,24,11400
2014,2,25,9400
2014,2,26,7840
2014,2,27,5640
2014,2,28,5530
2014,3,1,5100
2014,3,2,4730
2014,3,3,4400
2014,3,4,4260
2014,3,5,4080
2014,3,6,3950
2014,3,7,3590
2014,3,8,3520
2014,3,9,3510
2014,3,10,3680
2014,3,11,3790
2014,3,12,6020
2014,3,13,6710
2014,3,14,5840
2014,3,15,4970
2014,3,16,5200
2014,3,17,5060
2014,3,18,4800
2014,3,19,4650
2014,3,20,4710
2014,3,21,5530
2014,3,22,5070
2014,3,23,4780
2014,3,24,4730
2014,3,25,4420
2014,3,26,4250
2014,3,27,3910
2014,3,28,5970
2014,3,29,10700
2014,3,30,24800
2014,3,31,23700
2014,4,1,18400
2014,4,2,18e3
2014,4,3,19200
2014,4,4,18600
2014,4,5,19100
2014,4,6,18600
2014,4,7,16800
2014,4,8,17400
2014,4,9,21800
2014,4,10,21400
2014,4,11,20800
2014,4,12,24600
2014,4,13,24100
2014,4,14,28200
2014,4,15,32e3
2014,4,16,43600
2014,4,17,40800
2014,4,18,29300
2014,4,19,22500
2014,4,20,18700
2014,4,21,15700
2014,4,22,13300
2014,4,23,14e3
2014,4,24,13900
2014,4,25,12900
2014,4,26,13700
2014,4,27,14600
2014,4,28,13700
2014,4,29,13200
2014,4,30,13900
2014,5,1,16300
2014,5,2,17700
2014,5,3,16400
2014,5,4,15400
2014,5,5,15200
2014,5,6,17300
2014,5,7,16200
2014,5,8,15700
2014,5,9,14600
2014,5,10,14e3
2014,5,11,14e3
2014,5,12,14100
2014,5,13,13700
2014,5,14,13e3
2014,5,15,12300
2014,5,16,12300
2014,5,17,15e3
2014,5,18,24200
2014,5,19,20500
2014,5,20,18400
2014,5,21,16300
2014,5,22,14100
2014,5,23,12900
2014,5,24,13700
2014,5,25,14500
2014,5,26,14e3
2014,5,27,12700
2014,5,28,12700
2014,5,29,12400
2014,5,30,11700
2014,5,31,11300
2014,6,1,10600
2014,6,2,9670
2014,6,3,9090
2014,6,4,10500
2014,6,5,9910
2014,6,6,9230
2014,6,7,8840
2014,6,8,8350
2014,6,9,6270
2014,6,10,4270
2014,6,11,4280
2014,6,12,4750
2014,6,13,6260
2014,6,14,13300
2014,6,15,14400
2014,6,16,13500
2014,6,17,11500
2014,6,18,10900
2014,6,19,10600
2014,6,20,9430
2014,6,21,8310
2014,6,22,7480
2014,6,23,7980
2014,6,24,8470
2014,6,25,10600
2014,6,26,18200
2014,6,27,17200
2014,6,28,12800
2014,6,29,11200
2014,6,30,10300
2014,7,1,8540
2014,7,2,7990
2014,7,3,8370
2014,7,4,10500
2014,7,5,9960
2014,7,6,7930
2014,7,7,6040
2014,7,8,6910
2014,7,9,8120
2014,7,10,10500
2014,7,11,9230
2014,7,12,7620
2014,7,13,6990
2014,7,14,6860
2014,7,15,5770
2014,7,16,6560
2014,7,17,6770
2014,7,18,5790
2014,7,19,4830
2014,7,20,5300
2014,7,21,5720
2014,7,22,5e3
2014,7,23,3630
2014,7,24,4160
2014,7,25,3770
2014,7,26,3350
2014,7,27,3810
2014,7,28,7430
2014,7,29,12400
2014,7,30,9650
2014,7,31,8080
2014,8,1,7550
2014,8,2,5890
2014,8,3,5480
2014,8,4,5250
2014,8,5,5440
2014,8,6,5380
2014,8,7,5740
2014,8,8,4780
2014,8,9,4080
2014,8,10,3940
2014,8,11,3740
2014,8,12,3700
2014,8,13,3700
2014,8,14,4220
2014,8,15,5930
2014,8,16,5600
2014,8,17,4980
2014,8,18,4720
2014,8,19,4130
2014,8,20,3970
2014,8,21,4780
2014,8,22,5430
2014,8,23,6190
2014,8,24,7200
2014,8,25,6760
2014,8,26,5800
2014,8,27,5930
2014,8,28,5350
2014,8,29,4670
2014,8,30,4940
2014,8,31,4320
2014,9,1,3480
2014,9,2,3700
2014,9,3,3240
2014,9,4,3840
2014,9,5,2910
2014,9,6,3100
2014,9,7,2870
2014,9,8,3710
2014,9,9,2780
2014,9,10,2110
2014,9,11,2210
2014,9,12,2120
2014,9,13,2370
2014,9,14,2040
2014,9,15,2540
2014,9,16,2870
2014,9,17,2760
2014,9,18,2500
2014,9,19,2370
2014,9,20,2260
2014,9,21,2090
2014,9,22,2460
2014,9,23,2780
2014,9,24,2240
2014,9,25,2590
2014,9,26,2470
2014,9,27,2450
2014,9,28,2460
2014,9,29,2660
2014,9,30,2720
2014,10,1,2640
2014,10,2,2690
2014,10,3,2580
2014,10,4,2630
2014,10,5,2610
2014,10,6,2900
2014,10,7,2920
2014,10,8,2680
2014,10,9,2770
2014,10,10,3060
2014,10,11,3090
2014,10,12,3080
2014,10,13,2910
2014,10,14,2740
2014,10,15,2580
2014,10,16,2730
2014,10,17,5340
2014,10,18,4300
2014,10,19,4260
2014,10,20,4390
2014,10,21,4310
2014,10,22,3670
2014,10,23,6260
2014,10,24,8760
2014,10,25,8060
2014,10,26,7940
2014,10,27,7680
2014,10,28,7100
2014,10,29,6620
2014,10,30,6410
2014,10,31,5540
2014,11,1,4840
2014,11,2,4770
2014,11,3,4800
2014,11,4,4940
2014,11,5,4400
2014,11,6,4620
2014,11,7,4800
2014,11,8,4740
2014,11,9,4610
2014,11,10,4550
2014,11,11,3780
2014,11,12,4160
2014,11,13,4690
2014,11,14,3370
2014,11,15,4150
2014,11,16,4360
2014,11,17,4320
2014,11,18,6250
2014,11,19,6390
2014,11,20,6430
2014,11,21,5470
2014,11,22,4940
2014,11,23,4010
2014,11,24,4790
2014,11,25,6610
2014,11,26,8240
2014,11,27,9730
2014,11,28,9780
2014,11,29,9060
2014,11,30,8520
2014,12,1,8840
2014,12,2,9780
2014,12,3,10800
2014,12,4,8480
2014,12,5,8060
2014,12,6,6910
2014,12,7,9150
2014,12,8,7570
2014,12,9,6980
2014,12,10,11500
2014,12,11,11700
2014,12,12,10600
2014,12,13,9860
2014,12,14,8850
2014,12,15,8910
2014,12,16,8560
2014,12,17,9530
2014,12,18,11700
2014,12,19,9530
2014,12,20,7720
2014,12,21,7180
2014,12,22,7030
2014,12,23,7300
2014,12,24,13400
2014,12,25,24600
2014,12,26,27200
2014,12,27,22200
2014,12,28,19100
2014,12,29,19100
2014,12,30,15800
2014,12,31,13e3
2015,1,1,12100
2015,1,2,11800
2015,1,3,11300
2015,1,4,11700
2015,1,5,14400
2015,1,6,11900
2015,1,7,10400
2015,1,8,10300
2015,1,9,9570
2015,1,10,9950
2015,1,11,9760
2015,1,12,9380
2015,1,13,8980
2015,1,14,8650
2015,1,15,8320
2015,1,16,7970
2015,1,17,7750
2015,1,18,7550
2015,1,19,8600
2015,1,20,8220
2015,1,21,7890
2015,1,22,7790
2015,1,23,7650
2015,1,24,7570
2015,1,25,7680
2015,1,26,8260
2015,1,27,7650
2015,1,28,7810
2015,1,29,7590
2015,1,30,5640
2015,1,31,5460
2015,2,1,5430
2015,2,2,5230
2015,2,3,5890
2015,2,4,5730
2015,2,5,5380
2015,2,6,4330
2015,2,7,3700
2015,2,8,3770
2015,2,9,3940
2015,2,10,4100
2015,2,11,4180
2015,2,12,3910
2015,2,13,3840
2015,2,14,3800
2015,2,15,3780
2015,2,16,3820
2015,2,17,3850
2015,2,18,3860
2015,2,19,3880
2015,2,20,4090
2015,2,21,4360
2015,2,22,4680
