"","Year","CO2_ppm"
"153",1971.70410958904,323.36
"154",1971.78630136986,323.57
"155",1971.87123287671,324.8
"156",1971.95342465753,326.01
"157",1972.03825136612,326.77
"158",1972.12295081967,327.63
"159",1972.20218579235,327.75
"160",1972.2868852459,329.72
"161",1972.36885245902,330.07
"162",1972.45355191257,329.09
"163",1972.53551912568,328.05
"164",1972.62021857923,326.32
"165",1972.70491803279,324.93
"166",1972.7868852459,325.06
"167",1972.87158469945,326.5
"168",1972.95355191257,327.55
"169",1973.03835616438,328.54
"170",1973.12328767123,329.56
"171",1973.2,330.3
"172",1973.28493150685,331.5
"173",1973.36712328767,332.48
"174",1973.45205479452,332.07
"175",1973.53424657534,330.87
"176",1973.61917808219,329.31
"177",1973.70410958904,327.51
"178",1973.78630136986,327.18
"179",1973.87123287671,328.16
"180",1973.95342465753,328.64
"181",1974.03835616438,329.35
"182",1974.12328767123,330.71
"183",1974.2,331.48
"184",1974.28493150685,332.65
"185",1974.36712328767,333.19
"186",1974.45205479452,332.12
"187",1974.53424657534,330.99
"188",1974.61917808219,329.17
"189",1974.70410958904,327.41
"190",1974.78630136986,327.21
"191",1974.87123287671,328.34
"192",1974.95342465753,329.5
"193",1975.03835616438,330.68
"194",1975.12328767123,331.41
"195",1975.2,331.85
"196",1975.28493150685,333.29
"197",1975.36712328767,333.91
"198",1975.45205479452,333.4
"199",1975.53424657534,331.74
"200",1975.61917808219,329.88
"201",1975.70410958904,328.57
"202",1975.78630136986,328.36
"203",1975.87123287671,329.33
"204",1975.95342465753,330.59
"205",1976.03825136612,331.66
"206",1976.12295081967,332.75
"207",1976.20218579235,333.46
"208",1976.2868852459,334.78
"209",1976.36885245902,334.78
"210",1976.45355191257,334.06
"211",1976.53551912568,332.95
"212",1976.62021857923,330.64
"213",1976.70491803279,328.96
"214",1976.7868852459,328.77
"215",1976.87158469945,330.18
"216",1976.95355191257,331.65
"217",1977.03835616438,332.69
"218",1977.12328767123,333.23
"219",1977.2,334.97
"220",1977.28493150685,336.03
"221",1977.36712328767,336.82
"222",1977.45205479452,336.1
"223",1977.53424657534,334.79
"224",1977.61917808219,332.53
"225",1977.70410958904,331.19
"226",1977.78630136986,331.21
"227",1977.87123287671,332.35
"228",1977.95342465753,333.47
"229",1978.03835616438,335.1
"230",1978.12328767123,335.26
"231",1978.2,336.61
"232",1978.28493150685,337.77
"233",1978.36712328767,338.01
"234",1978.45205479452,337.98
"235",1978.53424657534,336.48
"236",1978.61917808219,334.37
"237",1978.70410958904,332.33
"238",1978.78630136986,332.41
"239",1978.87123287671,333.76
"240",1978.95342465753,334.83
"241",1979.03835616438,336.21
"242",1979.12328767123,336.65
"243",1979.2,338.13
"244",1979.28493150685,338.94
"245",1979.36712328767,339
"246",1979.45205479452,339.2
"247",1979.53424657534,337.6
"248",1979.61917808219,335.56
"249",1979.70410958904,333.93
"250",1979.78630136986,334.12
"251",1979.87123287671,335.26
"252",1979.95342465753,336.78
"253",1980.03825136612,337.8
"254",1980.12295081967,338.28
"255",1980.20218579235,340.04
"256",1980.2868852459,340.86
"257",1980.36885245902,341.47
"258",1980.45355191257,341.26
"259",1980.53551912568,339.34
"260",1980.62021857923,337.45
"261",1980.70491803279,336.1
"262",1980.7868852459,336.05
"263",1980.87158469945,337.21
"264",1980.95355191257,338.29
"265",1981.03835616438,339.36
"266",1981.12328767123,340.51
"267",1981.2,341.57
"268",1981.28493150685,342.56
"269",1981.36712328767,343.01
"270",1981.45205479452,342.49
"271",1981.53424657534,340.68
"272",1981.61917808219,338.49
"273",1981.70410958904,336.92
"274",1981.78630136986,337.12
"275",1981.87123287671,338.59
"276",1981.95342465753,339.9
"277",1982.03835616438,340.92
"278",1982.12328767123,341.69
"279",1982.2,342.85
"280",1982.28493150685,343.92
"281",1982.36712328767,344.67
"282",1982.45205479452,343.78
"283",1982.53424657534,342.23
"284",1982.61917808219,340.11
"285",1982.70410958904,338.32
"286",1982.78630136986,338.39
"287",1982.87123287671,339.48
