Year,Month,Precip_inches,state_cd
1930,7,3.71,AL
1930,8,3.46,AL
1930,9,6.03,AL
1930,10,2.64,AL
1930,11,6.94,AL
1930,12,2.83,AL
1931,1,3.2,AL
1931,2,3.48,AL
1931,3,3.87,AL
1931,4,3.21,AL
1931,5,3.43,AL
1931,6,1.66,AL
1931,7,5.85,AL
1931,8,4.49,AL
1931,9,1.21,AL
1931,10,1.81,AL
1931,11,2.13,AL
1931,12,9.5,AL
1932,1,7.34,AL
1932,2,5.53,AL
1932,3,4.55,AL
1932,4,3.27,AL
1932,5,4.92,AL
1932,6,4.82,AL
1932,7,4.99,AL
1932,8,5.28,AL
1932,9,5.01,AL
1932,10,6.71,AL
1932,11,3.91,AL
1932,12,9.2,AL
1933,1,2.98,AL
1933,2,6.1,AL
1933,3,6.18,AL
1933,4,6.24,AL
1933,5,2.78,AL
1933,6,3.19,AL
1933,7,7.18,AL
1933,8,3.96,AL
1933,9,2.27,AL
1933,10,1.79,AL
1933,11,1.26,AL
1933,12,3.25,AL
1934,1,3.9,AL
1934,2,4.6,AL
1934,3,6.47,AL
1934,4,3.48,AL
1934,5,3.74,AL
1934,6,5.15,AL
1934,7,6.78,AL
1934,8,5.85,AL
1934,9,2.27,AL
1934,10,6.38,AL
1934,11,3.97,AL
1934,12,3.36,AL
1935,1,2.76,AL
1935,2,4.16,AL
1935,3,7.56,AL
1935,4,5.43,AL
1935,5,4.62,AL
1935,6,3.78,AL
1935,7,4.39,AL
1935,8,4.65,AL
1935,9,2.25,AL
1935,10,1.93,AL
1935,11,3.3,AL
1935,12,4.21,AL
1936,1,11.49,AL
1936,2,7.13,AL
1936,3,3.73,AL
1936,4,6.41,AL
1936,5,2.01,AL
1936,6,1.85,AL
1936,7,7.31,AL
1936,8,5.3,AL
1936,9,2.7,AL
1936,10,2,AL
1936,11,1.86,AL
1936,12,7.26,AL
1937,1,9.1,AL
1937,2,5,AL
1937,3,4.46,AL
1937,4,6.64,AL
1937,5,4.51,AL
1937,6,3.62,AL
1937,7,4.52,AL
1937,8,5.05,AL
1937,9,4.11,AL
1937,10,5.95,AL
1937,11,3.4,AL
1937,12,2.84,AL
1938,1,3.47,AL
1938,2,1.98,AL
1938,3,6.18,AL
1938,4,9.6,AL
1938,5,3.32,AL
1938,6,4.47,AL
1938,7,7.66,AL
1938,8,3.9,AL
1938,9,1.33,AL
1938,10,0.38,AL
1938,11,3.38,AL
1938,12,2.79,AL
1939,1,4.78,AL
1939,2,10.11,AL
1939,3,5.01,AL
1939,4,3.49,AL
1939,5,5.67,AL
1939,6,6.7,AL
1939,7,4.97,AL
1939,8,10.31,AL
1939,9,3.88,AL
1939,10,0.43,AL
1939,11,0.86,AL
1939,12,3.36,AL
1940,1,4.35,AL
1940,2,6.91,AL
1940,3,5.24,AL
1940,4,3.7,AL
1940,5,3.46,AL
