Date,Year,Month,Precip_inches,Anomaly_inches,state_cd
192312,1923,12,5.35,0.2,AL
192401,1924,01,6.7,1.52,AL
192402,1924,02,4.65,-0.53,AL
192403,1924,03,3.31,-2.85,AL
192404,1924,04,5.7,0.89,AL
192405,1924,05,4.56,0.32,AL
192406,1924,06,4.99,0.71,AL
192407,1924,07,3.75,-1.69,AL
192408,1924,08,2.99,-1.35,AL
192409,1924,09,3.27,-0.51,AL
192410,1924,10,0.3,-2.53,AL
192411,1924,11,0.26,-3.59,AL
192412,1924,12,7.22,2.07,AL
192501,1925,01,10.08,4.9,AL
192502,1925,02,3.44,-1.74,AL
192503,1925,03,3.02,-3.14,AL
192504,1925,04,1.53,-3.28,AL
192505,1925,05,2.45,-1.79,AL
192506,1925,06,2.36,-1.92,AL
192507,1925,07,4.9,-0.54,AL
192508,1925,08,1.81,-2.53,AL
192509,1925,09,2.73,-1.05,AL
192510,1925,10,6.03,3.2,AL
192511,1925,11,4.59,0.74,AL
192512,1925,12,3.61,-1.54,AL
192601,1926,01,7.96,2.78,AL
192602,1926,02,4.39,-0.79,AL
192603,1926,03,6.39,0.23,AL
192604,1926,04,2.35,-2.46,AL
192605,1926,05,3.16,-1.08,AL
192606,1926,06,4.78,0.5,AL
192607,1926,07,5.67,0.23,AL
192608,1926,08,6.97,2.63,AL
192609,1926,09,4.2,0.42,AL
192610,1926,10,2.34,-0.49,AL
192611,1926,11,5.07,1.22,AL
192612,1926,12,6.2,1.05,AL
192701,1927,01,1.27,-3.91,AL
192702,1927,02,6.43,1.25,AL
192703,1927,03,5.27,-0.89,AL
192704,1927,04,2.29,-2.52,AL
192705,1927,05,2.8,-1.44,AL
192706,1927,06,5.4,1.12,AL
192707,1927,07,4.17,-1.27,AL
192708,1927,08,3.72,-0.62,AL
192709,1927,09,1.41,-2.37,AL
192710,1927,10,2.21,-0.62,AL
192711,1927,11,3.74,-0.11,AL
192712,1927,12,8.21,3.06,AL
192801,1928,01,1.52,-3.66,AL
192802,1928,02,3.63,-1.55,AL
192803,1928,03,6.19,0.03,AL
192804,1928,04,10.12,5.31,AL
192805,1928,05,3.77,-0.47,AL
192806,1928,06,10.52,6.24,AL
192807,1928,07,5.19,-0.25,AL
192808,1928,08,4.56,0.22,AL
192809,1928,09,2.91,-0.87,AL
192810,1928,10,3.45,0.62,AL
192811,1928,11,2.47,-1.38,AL
192812,1928,12,2.2,-2.95,AL
192901,1929,01,5.82,0.64,AL
192902,1929,02,8.87,3.69,AL
192903,1929,03,14.81,8.65,AL
192904,1929,04,4.5,-0.31,AL
