C_LabID,SiteID,StateID,Latitude,Longitude,CollDate,LandCover1,LandCover2,C_Depth,C_Pb
C-335279,1103,ID,43.6979,-116.7991,06/19/09,Herbaceous Upland,Grasslands/Herbaceous,5-10,18
C-335280,1147,ID,44.0607,-112.9846,07/01/09,Forested Upland,Evergreen Forest,0-40,18
C-335282,1167,ID,42.12,-112.6549,06/10/09,Shrubland,Shrubland,70-100,12.8
C-335283,1230,ID,45.1019,-116.2846,06/16/09,Forested Upland,Evergreen Forest,70-100,6.8
C-335284,1294,ID,44.6799,-116.8528,06/15/09,Forested Upland,Evergreen Forest,20-60,12.5
C-335285,1358,ID,48.5494,-116.3602,06/17/09,Forested Upland,Evergreen Forest,5-60,14.4
C-335286,1423,ID,43.2916,-115.2887,06/30/09,Herbaceous Upland,Grasslands/Herbaceous,50-70,25.2
C-335287,1486,ID,44.6482,-113.5555,06/20/09,Forested Upland,Evergreen Forest,0-20,36.3
C-335288,1614,ID,47.0656,-116.6618,06/17/09,Forested Upland,Evergreen Forest,10-100,11.7
C-335291,1659,ID,42.801,-111.3519,06/09/09,Forested Upland,Evergreen Forest,0-10,18
C-335292,1934,ID,46.3833,-115.2851,06/18/09,Forested Upland,Evergreen Forest,0-5,19.4
C-335293,2171,ID,43.2621,-112.8028,07/02/09,Herbaceous Upland,Grasslands/Herbaceous,50-100,15.8
C-335294,2191,ID,43.624,-115.1631,06/22/09,Forested Upland,Evergreen Forest,30-70,26.8
C-335295,2254,ID,45.8807,-116.0204,06/16/09,Forested Upland,Evergreen Forest,35-50,8
C-335296,2447,ID,44.1451,-114.2872,06/30/09,Shrubland,Shrubland,0-5,19.2
C-335297,2510,ID,44.5959,-115.8554,06/15/09,Forested Upland,Evergreen Forest,60-100,19.5
C-335299,2683,ID,42.3722,-111.9835,06/10/09,Shrubland,Shrubland,0-20,16.8
C-335300,2703,ID,42.2996,-114.8107,06/12/09,Shrubland,Shrubland,20-30,16.1
C-335301,2958,ID,45.3538,-114.5349,06/19/09,Forested Upland,Evergreen Forest,70-100,9.9
C-335302,2990,ID,44.3101,-112.9184,07/01/09,Forested Upland,Evergreen Forest,0-5,161
C-335303,3150,ID,46.4421,-115.0955,06/18/09,Forested Upland,Evergreen Forest,50-100,16.4
C-335304,3195,ID,43.2593,-112.0411,07/02/09,Shrubland,Shrubland,0-100,12.1
C-335306,3215,ID,43.7819,-115.9746,06/15/09,Forested Upland,Evergreen Forest,60-100,16.6
C-335307,3278,ID,44.0434,-114.7519,06/30/09,Forested Upland,Evergreen Forest,0-20,13.2
C-335308,3451,ID,42.632,-112.0375,06/10/09,Herbaceous Upland,Grasslands/Herbaceous,70-100,15.3
C-335309,3471,ID,42.9628,-114.4006,06/11/09,Shrubland,Shrubland,0-20,17.9
C-335310,3534,ID,44.114,-116.1082,06/15/09,Forested Upland,Evergreen Forest,30-50,16.3
C-335313,3662,ID,46.5918,-115.7755,06/16/09,Forested Upland,Evergreen Forest,30-100,9.9
C-335314,3707,ID,43.8034,-111.5152,07/01/09,Herbaceous Upland,Grasslands/Herbaceous,0-100,15
C-335315,3727,ID,42.5615,-115.4985,06/12/09,Herbaceous Upland,Grasslands/Herbaceous,50-80,14.2
C-335316,3855,ID,42.8926,-116.8733,06/13/09,Shrubland,Shrubland,15-20,5.7
C-335317,3919,ID,42.8663,-114.3824,06/11/09,Shrubland,Shrubland,60-100,18.5
C-335318,4239,ID,42.2811,-113.4723,06/11/09,Herbaceous Upland,Grasslands/Herbaceous,15-30,18.4
C-335320,4302,ID,45.8259,-116.2483,06/16/09,Herbaceous Upland,Grasslands/Herbaceous,80-100,11.3
C-335321,4495,ID,42.9407,-115.5304,06/12/09,Herbaceous Upland,Grasslands/Herbaceous,60-100,12.1
C-335322,4558,ID,45.0989,-113.9466,06/19/09,Herbaceous Upland,Grasslands/Herbaceous,0-30,33.8
C-335323,4623,ID,42.2447,-116.0286,06/13/09,Shrubland,Shrubland,0-20,22.4
C-335324,4686,ID,46.7867,-116.5112,06/17/09,Forested Upland,Evergreen Forest,50-100,15.2
C-335326,4731,ID,42.3624,-111.7002,06/10/09,Herbaceous Upland,Grasslands/Herbaceous,70-100,14.9
C-335327,4751,ID,43.6248,-113.3507,07/01/09,Shrubland,Shrubland,70-90,18
C-335328,4814,ID,44.656,-115.6804,06/17/09,Forested Upland,Evergreen Forest,25-50,14.9
C-335329,5199,ID,43.3078,-116.6552,06/13/09,Shrubland,Shrubland,50-95,20.6
C-335330,5243,ID,43.3364,-112.2746,07/02/09,Shrubland,Shrubland,0-100,12.7
C-335331,5263,ID,42.8095,-113.4439,06/11/09,Shrubland,Shrubland,0-45,14.5
C-335332,5326,ID,45.3509,-116.3996,06/16/09,Herbaceous Upland,Grasslands/Herbaceous,0-40,8
C-335357,5390,ID,44.6663,-116.8756,06/15/09,Forested Upland,Evergreen Forest,20-75,13.6
C-335358,5454,ID,48.1695,-116.5035,06/17/09,Forested Upland,Evergreen Forest,20-55,20.1
C-335359,5519,ID,44.1778,-113.8562,07/01/09,Shrubland,Shrubland,0-40,10
C-335361,5582,ID,44.3844,-113.1879,06/20/09,Shrubland,Shrubland,0-10,109
C-335362,5710,ID,46.6652,-115.8241,06/16/09,Forested Upland,Evergreen Forest,30-100,13.5
C-335363,5755,ID,43.1721,-111.3576,06/09/09,Forested Upland,Evergreen Forest,50-100,14.6
C-335364,5775,ID,42.4186,-114.6612,06/12/09,Shrubland,Shrubland,70-100,19
C-335365,6030,ID,46.3096,-115.3699,06/18/09,Forested Upland,Evergreen Forest,0-5,21.9
C-335366,6267,ID,43.9989,-112.0698,06/20/09,Shrubland,Shrubland,70-100,10.4
C-335367,6287,ID,43.7577,-115.2331,06/22/09,Forested Upland,Evergreen Forest,30-60,19.1
C-335368,6350,ID,46.2272,-115.5011,06/18/09,Forested Upland,Evergreen Forest,0-10,30.5
C-335370,6414,ID,44.044,-116.8747,06/15/09,Herbaceous Upland,Grasslands/Herbaceous,50-100,8.9
C-335371,6543,ID,44.1564,-114.3847,06/30/09,Shrubland,Shrubland,0-5,29.4
C-335372,6606,ID,44.9684,-116.2082,06/19/09,Forested Upland,Evergreen Forest,50-100,11.7
C-335373,6734,ID,46.6325,-116.6647,06/18/09,Forested Upland,Evergreen Forest,0-5,18.8
C-335374,6799,ID,42.2275,-114.5724,06/12/09,Shrubland,Shrubland,80-100,26.4
C-335375,7291,ID,43.6163,-112.0427,07/02/09,Planted/Cultivated,Urban/Recreational Grasses,0-20,18
C-335376,7311,ID,43.4814,-116.045,06/13/09,Shrubland,Shrubland,0-35,19
C-335379,7374,ID,44.8468,-114.4642,06/19/09,Forested Upland,Evergreen Forest,0-30,14.3
C-335380,7547,ID,42.9388,-112.8587,07/02/09,Planted/Cultivated,Row Crops,50-100,17.1
C-335381,7567,ID,43.09,-114.433,06/30/09,Shrubland,Shrubland,50-100,22.8
C-335382,7630,ID,44.3689,-115.2778,06/30/09,Forested Upland,Evergreen Forest,0-5,18.7
C-335383,7758,ID,46.4223,-115.8883,06/16/09,Forested Upland,Evergreen Forest,50-100,16.7
C-335384,7823,ID,42.3028,-115.3717,06/12/09,Shrubland,Shrubland,30-100,16.6
C-335386,7951,ID,42.6767,-115.9072,06/13/09,Shrubland,Shrubland,0-20,18.6
C-335387,8015,ID,42.8017,-113.7479,06/11/09,Planted/Cultivated,Row Crops,0-40,17.1
C-335388,8078,ID,45.2221,-115.9347,06/16/09,Forested Upland,Evergreen Forest,0-10,21
C-335389,8315,ID,44.0086,-112.2532,06/20/09,Shrubland,Shrubland,0-40,16.4
C-335390,8335,ID,42.4635,-112.7289,06/11/09,Forested Upland,Evergreen Forest,30-60,14.8
C-335391,8398,ID,45.8405,-115.9958,06/16/09,Forested Upland,Evergreen Forest,0-20,10.9
C-335392,8526,ID,47.2366,-115.6474,06/18/09,Forested Upland,Evergreen Forest,5-30,14.5
C-335393,8591,ID,42.9278,-114.457,06/11/09,Shrubland,Shrubland,60-80,19
C-335395,8719,ID,42.3949,-115.884,06/13/09,Shrubland,Shrubland,0-10,19.6
C-335396,8827,ID,42.1548,-111.2663,06/09/09,Herbaceous Upland,Grasslands/Herbaceous,30-100,11.2
C-335397,8847,ID,42.1482,-115.3353,06/12/09,Shrubland,Shrubland,70-100,15.1
C-335398,8910,ID,44.6658,-115.6569,06/15/09,Forested Upland,Evergreen Forest,25-45,16.3
C-335335,9295,ID,43.3075,-116.5723,06/13/09,Shrubland,Shrubland,0-100,13.2
C-335336,9339,ID,43.4041,-112.4459,07/02/09,Shrubland,Shrubland,70-100,9.7
C-335337,9359,ID,42.6229,-113.4856,06/11/09,Shrubland,Shrubland,20-100,12.3
C-335338,9422,ID,45.8178,-115.8186,06/16/09,Forested Upland,Evergreen Forest,0-15,11.1
C-335339,9550,ID,48.4694,-116.5817,06/17/09,Forested Upland,Evergreen Forest,0-30,20.9
C-335340,9615,ID,43.981,-113.4614,07/01/09,Forested Upland,Evergreen Forest,15-30,43.8
C-335342,9678,ID,44.7738,-113.7267,06/20/09,Shrubland,Shrubland,0-20,6.9
C-335343,9806,ID,47.2548,-115.8888,06/18/09,Forested Upland,Evergreen Forest,0-30,18.8
C-335344,9851,ID,42.1906,-112.1167,06/10/09,Herbaceous Upland,Grasslands/Herbaceous,0-20,20.8
C-335345,9871,ID,42.6884,-114.8979,06/12/09,Shrubland,Shrubland,60-100,13.5
C-335346,10126,ID,45.4213,-114.2937,06/19/09,Forested Upland,Evergreen Forest,30-50,12.6
C-335347,10363,ID,43.9814,-111.5816,07/01/09,Herbaceous Upland,Grasslands/Herbaceous,0-50,19.9
C-335348,10383,ID,43.5465,-115.2279,06/22/09,Forested Upland,Evergreen Forest,30-45,24.5
C-335349,10446,ID,44.4219,-114.1133,06/17/09,Shrubland,Shrubland,0-15,17
C-335351,10574,ID,47.6038,-116.8714,06/17/09,Planted/Cultivated,Urban/Recreational Grasses,70-100,17
C-335352,10639,ID,43.5532,-114.4285,06/30/09,Shrubland,Shrubland,0-50,35.2
C-335353,10702,ID,44.0061,-116.1797,06/15/09,Forested Upland,Evergreen Forest,30-40,16.2
C-335354,11387,ID,43.5142,-111.346,07/01/09,Forested Upland,Evergreen Forest,30-100,18.1
C-335401,11407,ID,43.7384,-115.8437,06/15/09,Forested Upland,Evergreen Forest,0-30,20.2
C-335402,11470,ID,45.3191,-114.6361,06/19/09,Forested Upland,Evergreen Forest,0-30,17.8
C-335403,11598,ID,47.641,-116.272,06/18/09,Forested Upland,Evergreen Forest,30-100,20.6
C-335404,11643,ID,42.9556,-112.4111,07/02/09,Shrubland,Shrubland,0-100,13.7
C-335406,11663,ID,42.9117,-113.9675,06/11/09,Shrubland,Shrubland,80-100,34.5
C-335407,11726,ID,44.1577,-114.9069,06/30/09,Forested Upland,Evergreen Forest,20-50,23.5
C-335408,11758,ID,44.4848,-111.6094,07/01/09,Forested Upland,Evergreen Forest,30-70,22.2
C-335409,11854,ID,46.5366,-115.9595,06/15/09,Forested Upland,Evergreen Forest,70-100,16.3
C-335410,11919,ID,42.5657,-115.2677,06/12/09,Herbaceous Upland,Grasslands/Herbaceous,40-55,13.8
C-335412,12047,ID,42.8649,-116.7691,06/13/09,Forested Upland,Evergreen Forest,20-50,24
C-335413,12111,ID,42.2359,-113.8566,06/14/09,Shrubland,Shrubland,30-50,19.9
C-335414,12174,ID,45.7994,-115.7037,06/16/09,Forested Upland,Evergreen Forest,5-100,11.9
C-335415,12206,ID,44.3967,-111.824,07/01/09,Shrubland,Shrubland,0-20,17.2
C-335416,12411,ID,43.7991,-112.7237,07/01/09,Shrubland,Shrubland,70-100,16
C-335417,12494,ID,45.4056,-116.1945,06/16/09,Forested Upland,Evergreen Forest,0-35,7.8
C-335418,12558,ID,44.5541,-116.6939,06/15/09,Herbaceous Upland,Grasslands/Herbaceous,30-100,9
C-335419,12622,ID,47.2242,-115.8143,06/18/09,Forested Upland,Evergreen Forest,0-30,14
C-335420,12687,ID,43.1813,-114.7123,06/30/09,Shrubland,Shrubland,0-20,9.8
C-335423,12750,ID,45.0136,-113.6072,06/20/09,Shrubland,Shrubland,0-20,13.2
C-335424,12878,ID,46.6991,-116.8543,06/18/09,Herbaceous Upland,Grasslands/Herbaceous,50-100,15.9
C-335425,12923,ID,42.7313,-111.644,06/09/09,Shrubland,Shrubland,60-100,17.3
C-335426,13006,ID,44.5103,-115.0716,06/30/09,Forested Upland,Evergreen Forest,0-10,24.2
C-335427,13179,ID,43.5724,-111.2068,07/01/09,Forested Upland,Evergreen Forest,20-45,15
C-335428,13198,ID,46.4643,-114.9402,06/19/09,Forested Upland,Evergreen Forest,0-10,17.8
C-348480,264,IL,38.8895,-89.6857,08/14/10,Planted/Cultivated,Row Crops,121-158,17.4
C-348887,424,IL,41.1977,-87.9717,08/03/10,Planted/Cultivated,Urban/Recreational Grasses,20-31,15.3
C-348477,492,IL,39.4624,-87.6186,08/16/10,Planted/Cultivated,Row Crops,121-154,18.9
C-348600,680,IL,40.3111,-89.3168,09/28/10,Planted/Cultivated,Row Crops,125-140,19.4
C-348878,936,IL,41.6734,-89.9209,08/02/10,Planted/Cultivated,Urban/Recreational Grasses,121-150,11.1
C-348574,1012,IL,38.7971,-88.3103,08/13/10,Planted/Cultivated,Row Crops,120-145,13.1
C-348763,1256,IL,40.9574,-90.9429,08/01/10,Forested Upland,Deciduous Forest,127-159,6.7
C-348485,1288,IL,39.2797,-89.6607,08/15/10,Planted/Cultivated,Pasture/Hay,110-153,18.2
C-348893,1448,IL,41.9003,-87.7032,08/05/10,Planted/Cultivated,Urban/Recreational Grasses,111-157,17.1
