Top5_LabID,SiteID,StateID,Latitude,Longitude,CollDate,LandCover1,LandCover2,Top5_Depth,Top5_Pb
C-318915,5067,WY,43.8068,-106.2703,07/16/08,Herbaceous Upland,Grasslands/Herbaceous,0-5,20.2
C-318387,5307,WY,42.5849,-107.5977,07/04/08,Shrubland,Shrubland,0-5,20.3
C-318347,5467,WY,42.2921,-105.934,07/05/07,Shrubland,Shrubland,0-5,19.2
C-318330,5499,WY,42.8847,-110.9835,08/02/08,Herbaceous Upland,Grasslands/Herbaceous,0-5,18.5
C-318932,5563,WY,44.6781,-108.6851,07/21/08,Shrubland,Shrubland,0-5,4.3
C-318422,5579,WY,42.8,-105.8784,07/09/08,Herbaceous Upland,Grasslands/Herbaceous,0-5,11.2
C-318368,5819,WY,42.5287,-108.6802,07/31/08,Herbaceous Upland,Grasslands/Herbaceous,0-5,23.7
C-318342,5835,WY,43.3297,-104.4031,07/13/08,Herbaceous Upland,Grasslands/Herbaceous,0-5,15.5
C-318355,5870,WY,44.9202,-110.0968,07/23/08,Forested Upland,Mixed Forest,0-5,18
C-318333,5947,WY,42.1643,-110.3271,08/03/08,Shrubland,Shrubland,0-5,14.4
C-318920,6011,WY,43.5108,-110.6435,07/29/08,Shrubland,Shrubland,0-5,22.4
